Stichwort,Datum
Kabelpilotprojektgesetz (Gegenüberstellung mit Gesetzesantrag der Fraktionen von SPD und AL über Berliner Privatfunkgesetz),16.3.1990
Öffentliche Verkehrsflächen,13.4.1990
Förderausschüsse (Rundschreiben der Senatsschulverwaltung zur Bildung von -),18.4.1990
Berlin: zeitlich befristetes Zuzugsverbot für Asylbewerber und Ausländer,20.4.1990
Bezirksverwaltung (Wahrnehmung der Schulaufsicht),18.5.1990
"Aktenvorlagebegehren (eines Untersuchungsausschusses, Verweigerung durch die Exekutive)",23.5.1990
"Beweiserhebung: Untersuchungsausschuss, Protokollerstellung durch Tonbandaufnahme",29.5.1990
Schulangelegenheiten: Anfechtung von Entscheidungen durch Eltern,5.6.1990
Bundesverfassungsrecht (Vereinbarkeit des Verfassungsentwurfs für Berlin (Ost)),5.7.1990
Kindertagesstättengesetze der Bundesländer (Synopse),16.8.1990
"Ausländer: kommunales Wahlrecht, Vereinbarkeit mit dem Grundgesetz und der Verfassung von Berlin",10.9.1990
Gesetz über die Untersuchungsausschüsse des Abgeordnetenhauses von Berlin: Neufassung des § 9; Sitzungsprotokoll,14.9.1990
Berliner Landesrecht (Gesetz über den Geltungsbereich),20.9.1990
Bundeswahlrecht und Landeswahlrecht (Änderungen),4.10.1990
Frauenförderung: Rechtsfragen des Landesantidiskriminierungsgesetzes,8.10.1990
Meldegesetz: Antrag über Gesetz zur Änderung,11.10.1990
Auflagenbeschlüsse des Abgeordnetenhauses zum Haushaltsplan,15.10.1990
Airport-Transfer Tegel/Tempelhof/Schönefeld (Tariffestsetzung),24.10.1990
Fraktionsbildung: Zusammenschluß von Abgeordneten einer Partei oder Listenvereinigung,3.12.1990
Parlamentsgebäude des ehemaligen Landes Preußen (Eigentumsfrage),20.12.1990
Geschäftsordnung des Abgeordnetenhauses: § 7 (Bildung der Fraktionen; Änderung der Vorschrift),21.12.1990
Geschwindigkeitsbegrenzung (30 km/h im Berliner Stadtgebiet),3.1.1991
Geschäftsordnung des Abgeordnetenhauses: Änderungsvorschläge,9.1.1991
Gruppenstatus für die Abgeordneten der Bürgerbewegung Neues Forum,22.1.1991
Öffentliche Verhandlung (Zuhörerplätze im Plenarsaal),29.1.1991
Parlamentsexterne Gremien,6.2.1991
